ID,Work Item Type,Title,Description,Acceptance Criteria,Tags,Priority
,Product Backlog Item,Enforce role-based permissions on every action,"As FCRM Leadership, I want every action to be permitted only to the role that owns it, so that the accountability the audit trail records is real rather than assumed. Origin: DEF-001 and DEF-002 - the user directory is currently readable with no credential, and the UI hides screens by role while the API enforces nothing.","Given any request to a protected endpoint, when no valid credential is presented, then the request is rejected and no data of any kind is returned.
Given an authenticated user, when they attempt an action their role does not permit, then it is refused on authorization grounds before any record is read or written.
Given any write action, when the acting user is determined, then it comes from the authenticated session and never from a field in the request payload.
Given the permission model, when it is reviewed, then a documented matrix maps each of the three roles to every action and each endpoint's behaviour matches it.",QA-raised; Security; Epic-11-Access-Control,1
,Product Backlog Item,Export an examiner-ready audit trail,"As an Auditor or FCRM Analyst preparing for examination, I want to export a request's complete history in a durable format, so that I can hand it to an examiner without reformatting it first. Origin: US-9.1 AC3 states this requirement but no story owns the export itself.","Given any request id, when I export its history, then the export contains every event in order - submission, uploads, AI outputs, human overrides with reasons, policy citations relied upon, score calculations, routing, individual votes and the final decision.
Given an export, when I open it, then each entry shows actor, exact timestamp, and the before and after state.
Given an export, when it is produced, then it is a durable human-readable document requiring no further formatting.
Given an assessment with AI-generated content, when exported, then both the original AI output and any human override appear, never the override alone.",QA-raised; Audit; Epic-9,1
,Product Backlog Item,Apply the database schema to a deployed environment,"As the DevOps engineer, I want the schema, stored functions and reference data applied automatically to a target environment, so that a deployed application can actually serve a request. Origin: DEF-007 - the DB folder is not copied into either image, the application performs no bootstrap, and no pipeline applies it. On first deploy the containers start cleanly and fail on every request.","Given a newly provisioned database, when the release runs, then schema, all func_* routines and reference seed data are applied before the application containers start accepting traffic.
Given the schema deployment runs twice, when it completes, then the second run is a safe no-op and destroys no data.
Given schema deployment fails, when it does, then the release halts and reports which statement failed, and never proceeds to start an application against an incomplete schema.
Given a deployed environment, when I verify it, then a documented post-deploy check confirms the expected function and seed-row counts.",QA-raised; Deployment; Blocker; Epic-12-Deployment,1
,Product Backlog Item,Build and publish container images automatically,"As the DevOps engineer, I want images built, scanned and published by the pipeline, so that what reaches Azure is reproducible and has been checked. Origin: DEF-009 and DEF-011 - both Dockerfiles omit a USER directive so every process runs privileged, and there is no image scanning because there is no application pipeline at all.","Given a merge to the main branch, when the pipeline runs, then both service images build from the repository root and are pushed to the registry tagged with the commit.
Given an image is built, when it is scanned, then no HIGH or CRITICAL operating-system vulnerability is present, and the build fails if one is.
Given a running container, when its user is inspected, then it is not root.
Given any image, when its layers are inspected, then no local configuration file or secret is present.",QA-raised; Deployment; Security; Epic-12-Deployment,2
,Product Backlog Item,Observe a running environment,"As the DevOps engineer, I want logs, traces and metrics from a deployed environment, so that a failure can be diagnosed without redeploying to reproduce it. Origin: DEF-010 - both services register OpenTelemetry and activate on a connection string, but the Log Analytics workspace is commented out in Terraform, so a deployed environment would emit nothing.","Given a deployed environment, when a request is served, then its trace is queryable within minutes, including outbound calls to the database, Mock Systems and the AI provider.
Given an unhandled error, when it occurs, then it is recorded with enough context to identify the request, without recording assessment content or personal data.
Given cost constraints, when telemetry is configured, then a sampling rate is set deliberately and documented.",QA-raised; Operations; Epic-12-Deployment,2
,Product Backlog Item,Retain assessment records for the supervisory period,"As FCRM Leadership, I want assessment records and their audit trail retained for the full supervisory retention period, so that an examiner can review a decision years after it was taken. Origin: the requirements document names non-functional requirements as its own next step; retention is the one with a regulatory floor and is currently undefined.","Given a finalized assessment, when the retention period is defined, then it is at least five years and is stated in documentation rather than assumed.
Given the database, when backup is configured, then point-in-time restore is enabled and the retention window is documented.
Given an attached document, when the request is decisioned, then the document remains retrievable for the same period as its assessment.",QA-raised; NFR; Epic-13-NFR,3
,Product Backlog Item,Keep model calls inside the tenant,"As FCRM Leadership, I want AI calls to stay within our own Azure tenant, so that assessment content never leaves our control boundary. Origin: data residency was previously abstract; with Azure AI Foundry now provisioned it is decidable. The provider is currently selected by a configuration value with a non-Azure default.","Given a deployed environment, when an AI call is made, then it goes to the in-tenant Azure AI Foundry deployment and not a third-party endpoint.
Given configuration, when the environment starts, then a non-production provider cannot be selected by default in a deployed environment.
Given any AI call, when it is logged, then the prompt and response content are not written to general application logs.",QA-raised; NFR; Security; Epic-13-NFR,3
,Product Backlog Item,AMEND US-6.3 Finalize the assessment - block vacuous readiness,"AMENDMENT to the existing US-6.3. Put the real ADO id in the ID column to update rather than create a duplicate. Origin: DEF-004 - an assessment with zero categories, zero policy review, zero narrative and zero scores currently reports Ready to finalize, finalizes, routes, and appears in the committee queue with a live vote button. Confirmed end to end on 12 September.","EXISTING CRITERIA UNCHANGED, plus:
Given an assessment has no risk categories mapped at all, when I try to finalize, then the system blocks it and tells me at least one category must be mapped - readiness must never be satisfied vacuously.
Given every proposed category has been deactivated by me, when I try to finalize, then the system blocks it for the same reason.",QA-raised; Governance; DEF-004; Amendment,1
,Product Backlog Item,AMEND US-8.2 Cast a committee vote - reject non-committee actors,"AMENDMENT to the existing US-8.2. Put the real ADO id in the ID column to update rather than create a duplicate. Origin: DEF-002 - every write endpoint reads the acting user from the request body and performs no role check.","EXISTING CRITERIA UNCHANGED, plus:
Given I do not hold the Committee Member role, when a vote is submitted in my name, then the system rejects it with an authorization error - the acting user is established from the authenticated session, never accepted from the request payload.",QA-raised; Governance; DEF-002; Amendment,1
,Product Backlog Item,AMEND US-7.1 Risk score breakdown - seeded control catalogue,"AMENDMENT to the existing US-7.1. Put the real ADO id in the ID column to update rather than create a duplicate. Origin: DEF-005 - the control table is created but never seeded, so the controls endpoint returns an empty list for every category and the existing traceability criterion cannot be met.","EXISTING CRITERIA UNCHANGED, plus:
Given I am scoring a category, when I open the controls picker, then I see a non-empty catalogue of named controls for that category, each with a description, so that which controls were credited is answerable rather than always empty.",QA-raised; DEF-005; Amendment,2
